number,stateCode,state,townCode,town,localCode,local
125,19,NUEVO LEÓN   ,006,APODACA,0001,CIUDAD APODACA
125,19,NUEVO LEÓN   ,021,GENERAL ESCOBEDO,0001,CIUDAD GENERAL ESCOBEDO
125,22,QUERÉTARO                               ,016,SAN JUAN DEL RÍO,0001,SAN JUAN DEL RÍO
127,17,MORELOS,008,EMILIANO ZAPATA,0001,EMILIANO ZAPATA
127,21,PUEBLA,140,SAN PEDRO CHOLULA,0001,CHOLULA DE RIVADAVIA
127,28,TAMAULIPAS,009,CIUDAD MADERO,0001,CIUDAD MADERO
128,12,GUERRERO,058,TELOLOAPAN,0001,TELOLOAPAN
128,21,PUEBLA,045,CHALCHICOMULA DE SESMA,0001,CIUDAD SERDÁN
128,21,PUEBLA,142,SAN SALVADOR EL SECO,0001,SAN SALVADOR EL SECO
130,20,OAXACA,565,VILLA DE ZAACHILA,0001,VILLA DE ZAACHILA
131,12,GUERRERO,075,EDUARDO NERI,0001,ZUMPANGO DEL RÍO
